asin,product_name,cpu_euros_planned,units_sold,total_income,ppc_income,advertising,ppc_share,organic_share,ppc_units_sold,cpu_actual,brand
B01FWFE7VK,VitalCore Trans Resveratrol with Quercetin 550 mg 120 Capsules,5.207265812,580.0,12353.86,6219.85,1690.57,0.5,0.5,292.0,5.789324973,VitalCore
B08GG6TPN6,VitalCore Vitamin B Complex   365 Tablets,7.167846532,969.0,15913.95,11069.37,3134.2,0.7,0.3,674.0,4.650054192,VitalCore
B08HJPDMTR,VitalCore Multivitamins with Minerals   400 Tablets,6.001069869,798.0,14888.02,10218.51,3342.2,0.69,0.31,548.0,6.102094271,VitalCore
B08BXNX4MF,VitalCore Black Maca Complex 5550 mg 180 Capsules,4.246889304,774.0,12441.43,6927.9,2299.99,0.56,0.44,431.0,5.336465145,VitalCore
B08DG4NXBS,VitalCore Iron Bisglycinate 28 mg 400 Tablets,7.736725854,556.0,9126.45,5647.28,1472.91,0.62,0.38,344.0,4.281184819,VitalCore
B09WJBLCR3,VitalCore Melatonin Complex  1.9 mg 400 Tablets,6.238589668,527.0,10063.85,5717.58,1861.69,0.57,0.43,299.0,6.21797048,VitalCore
B07PDFXWCD,VitalCore Krill Oil 1200 mg 180 Softgels,6.388970638,343.0,7802.42,4104.45,978.92,0.53,0.47,180.0,5.42534595,VitalCore
B0CCP8GG6X,VitalCore Lion's Mane Mushroom Extract 2000 mg 365 Tablets,8.180832125,423.0,8292.07,4181.37,1443.94,0.5,0.5,213.0,6.769446194,VitalCore
B08GG9T6SW,VitalCore Zinc Bisglycinate 50 mg 400 Tablets,6.86638332,1111.0,14653.2,10238.0,3606.87,0.7,0.3,776.0,4.646583894,VitalCore
B078Y7M3S1,VitalCore Marine Collagen Advance   120 Capsules,5.837032336,825.0,14725.21,8560.11,3778.64,0.58,0.42,480.0,7.878866115,VitalCore
B0817WBXKF,VitalCore Biotin  12000 mcg 365 Tablets,7.185709507,488.0,8142.67,4151.68,1322.63,0.51,0.49,249.0,5.315712813,VitalCore
B01N5FSCHQ,VitalCore CIRCULATOR    Device,6.89882363,211.0,18772.71,11943.08,2282.16,0.64,0.36,134.0,17.00099203,VitalCore
B07MZY4P1R,VitalCore CoQ10 200 mg 120 Capsules,5.559939315,317.0,7182.23,3828.01,1186.8,0.53,0.47,169.0,7.024323758,VitalCore
B08DG68P6B,VitalCore Vitamin D3 4000IU + K2 (MK-7) 125mcg   240 Tablets,4.570216684,468.0,8475.21,4289.26,1831.83,0.51,0.49,237.0,7.734057734,VitalCore
B07L9C38RD,VitalCore Glucosamine and Chondroitin   180 Capsules,14.1813103,639.0,11290.19,5473.83,1824.87,0.48,0.52,310.0,5.890348883,VitalCore
B0CHRNR4QH,VitalCore Berberine 500 mg 120 Capsules,8.459272956,660.0,11970.64,7066.37,2460.08,0.59,0.41,390.0,6.314315693,VitalCore
B086T13DD6,VitalCore Multivitamin Gummies   120 Gummies,7.654530424,434.0,7281.62,2527.84,900.73,0.35,0.65,151.0,5.9783774,VitalCore
B0924Q1H5X,VitalCore Selenium 200 mcg 365 Tablets,5.028801974,416.0,6532.99,6418.37,923.81,0.98,0.02,409.0,2.260354583,VitalCore
B07ZKMCN2Z,VitalCore Bio Culture Complex 77 Billion 60 Capsules,7.008523436,470.0,8177.38,3911.37,1409.59,0.48,0.52,225.0,6.27018322,VitalCore
B08D9N5CK4,VitalCore Electrolyte Complex 900 mg 180 Tablets,8.309513056,467.0,7489.53,4205.01,1147.34,0.56,0.44,262.0,4.375853623,VitalCore
B0C7WG2333,VitalCore Marine Collagen   180 Tablets,4.002376654,546.0,9256.71,4478.03,1590.98,0.48,0.52,264.0,6.023400447,VitalCore
B0B8SSJZVK,VitalCore Ginkgo Biloba Complex 6600 mg 365 Tablets,6.529467535,537.0,8876.72,5731.55,1748.54,0.65,0.35,347.0,5.042915856,VitalCore
B09BJPTHVR,VitalCore Vitamin A 10000 IU 365 Tablets,8.227793837,259.0,4674.93,2659.48,525.83,0.57,0.43,147.0,3.568814541,VitalCore
B092Q8SGPT,VitalCore Bio Cultures Complex 60 Billion  120 Capsules,7.170432535,932.0,15886.18,10438.94,3981.65,0.66,0.34,612.0,6.501450297,VitalCore
B085W65GKF,VitalCore Vitamin C with Rosehip and Bioflavonoids 1000 mg 180 Tablets,3.319150754,857.0,12577.75,9093.69,3248.31,0.72,0.28,620.0,5.242512326,VitalCore
B0771T1WRL,VitalCore ProstaSure   180 Capsules,6.735128964,244.0,4706.15,2106.08,586.25,0.45,0.55,109.0,5.368882889,VitalCore
B0CKFHG8NQ,VitalCore Magnesium Glycinate 1420 mg 180 Capsules,4.116185701,668.0,12060.27,10386.99,3955.12,0.86,0.14,575.0,6.874648845,VitalCore
B08FDVCKTG,VitalCore Water Away   180 Capsules,6.130791277,407.0,7203.26,5050.8,1646.67,0.7,0.3,285.0,5.770070017,VitalCore
B08PVZM37H,VitalCore Organic Mushroom Complex   180 Capsules,3.632868428,296.0,5772.45,3478.06,874.81,0.6,0.4,178.0,4.90506919,VitalCore
B08GGCD1KR,VitalCore Organic Ashwagandha with Black Pepper 605 mg 180 Capsules,4.534592715,401.0,7384.86,5498.96,1803.04,0.74,0.26,299.0,6.03841135,VitalCore
B0B1QQNZ2S,VitalCore Organic Psyllium Husk 1400 mg 180 Capsules,7.272374629,304.0,5427.78,2593.18,842.0,0.48,0.52,145.0,5.797330782,VitalCore
B07YNVK1MB,VitalCore Organic Turmeric with Organic Black pepper and Organic Ginger 505 mg 365 Capsules,8.839191873,258.0,5171.94,3756.7,875.58,0.73,0.27,187.0,4.672217911,VitalCore
B0953NSL31,VitalCore Vitamin E 400 IU 180 Softgels,4.193500499,398.0,6243.88,4040.54,989.14,0.65,0.35,258.0,3.840518222,VitalCore
B0CWLN5S1N,VitalCore Purified Shilajit Resin 50 g  Resin,9.046165985,336.0,7895.78,4386.96,2224.73,0.56,0.44,187.0,11.91706748,VitalCore
B0BF5KDPQC,VitalCore Quercetin 1000 mg 180 Capsules,4.001714995,181.0,3904.94,2183.0,719.29,0.56,0.44,101.0,7.108632736,VitalCore
B098QJPDGL,VitalCore Iron & Vitamin C 28 mg 120 Gummies,7.467074725,261.0,4344.71,2226.92,860.51,0.51,0.49,134.0,6.432378507,VitalCore
B089QHSS5H,VitalCore Certified (Bio) Organic Ginger 650 mg 90 Capsules,3.464437048,344.0,4822.46,2543.42,766.7,0.53,0.47,181.0,4.225884012,VitalCore
B095SM7TW6,VitalCore Ashwagandha 1200 mg 120 Gummies,3.944422276,381.0,5624.41,2876.24,1147.5,0.51,0.49,195.0,5.889515492,VitalCore
B08BTXFQ4F,VitalCore Magnesium Citrate   240 Capsules,10.16300455,918.0,15029.07,11211.25,4781.82,0.75,0.25,685.0,6.982784081,VitalCore
B0BNVKF7C9,VitalCore Black Garlic Extract 15000 mg 180 Capsules,5.401054223,169.0,2653.83,471.98,101.09,0.18,0.82,30.0,3.363341726,VitalCore
B0924NLC1W,VitalCore Astaxanthin 18 mg 240 Softgels,6.961231703,191.0,3427.48,2004.67,612.96,0.58,0.42,112.0,5.486947508,VitalCore
B081NCGQPB,VitalCore Apple Cider Vinegar Complex 1860 mg 180 Capsules,4.744721845,277.0,4858.96,2613.15,1030.0,0.54,0.46,149.0,6.914112468,VitalCore
B07H2YR3WV,PawVista Glucosamine & Chondroitin for dogs & cats   180 Capsules,,249.0,5026.6,1257.28,375.28,0.25,0.75,62.0,6.025573559,PawVista
B07K9X11YV,VitalCore CLA 3000 mg 180 Softgels,5.888947331,360.0,5382.53,4233.12,789.69,0.79,0.21,283.0,2.789202314,VitalCore
B091FT9L27,VitalCore N-Acetyl- Cysteine (NAC) 600 mg 180 Capsules,6.576205137,366.0,6113.5,3698.51,1253.19,0.6,0.4,221.0,5.659772238,VitalCore
B0924PV4SK,VitalCore Potassium Citrate with Vitamin C   180 Tablets,5.921496549,251.0,4062.07,4346.33,928.96,1.07,-0.07,269.0,3.458979581,VitalCore
B0B6Q6PN1M,VitalCore Vitamin K2 (MK-7) 200 mcg 365 Tablets,10.36424881,279.0,4334.97,3314.65,1099.07,0.76,0.24,213.0,5.151925443,VitalCore
B091FV1FHQ,VitalCore L-Theanine 400 mg 180 Capsules,,207.0,3328.53,2118.94,402.29,0.64,0.36,132.0,3.052830612,VitalCore
B0BX6195RG,VitalCore Vitamin C  and Zinc 1000 mg 180 Tablets,5.501856774,231.0,3279.69,1994.69,535.36,0.61,0.39,140.0,3.810582114,VitalCore
B08BZYM56L,VitalCore Organic Fenugreek 1500 mg 180 Capsules,6.964154764,291.0,4948.89,3245.94,1166.42,0.66,0.34,191.0,6.111239184,VitalCore
B09VTBBM6L,VitalCore Omega 3 1000 mg 400 Softgels,6.827344028,460.0,10508.24,9643.58,3135.68,0.92,0.08,422.0,7.42789233,VitalCore
B07RY9SYLV,VitalCore Vegan Collagen Advanced   180 Capsules,4.910645359,220.0,3620.76,2853.57,611.0,0.79,0.21,173.0,3.523949999,VitalCore
B0DM6D92MZ,VitalCore Shilajit Complex   120 Capsules,5.411610397,585.0,10588.59,8677.66,3644.5,0.82,0.18,479.0,7.601820156,VitalCore
B09BD66HPL,VitalCore Turmeric Gummies 2100 mg 90 Gummies,3.956424518,209.0,3083.36,1819.16,414.66,0.59,0.41,123.0,3.36278571,VitalCore
B0BSGZV1T9,VitalCore Milk Thistle 2000 mg 180 Capsules,6.598683611,236.0,3782.16,2767.23,1083.48,0.73,0.27,173.0,6.27485271,VitalCore
B0BZW1BYH7,VitalCore Marine Magnesium + B6 360mg  360 mg 180 Capsules,8.226668172,146.0,2232.66,961.72,183.09,0.43,0.57,63.0,2.911291637,VitalCore
B0B8SWNKD7,VitalCore Probiotic 2 Billion 90 Gummies,8.574153304,179.0,2686.14,1539.01,339.94,0.57,0.43,103.0,3.314640568,VitalCore
B0CWLLPHQF,VitalCore Boswellia Serreta 2000 mg 180 Capsules,3.041209198,139.0,2787.9,1738.91,740.44,0.62,0.38,87.0,8.540339961,VitalCore
B0767D9FJF,VitalCore Candida Support   180 Capsules,8.443988373,122.0,2185.03,1421.26,360.17,0.65,0.35,79.0,4.538701027,VitalCore
B08RRZPPNP,VitalCore Cranberry with Vitamin C 25000 mg 180 Capsules,5.036694727,190.0,2822.7,1408.56,554.63,0.5,0.5,95.0,5.84977454,VitalCore
B0D1YNNYNY,VitalCore L-Citrulline 3000 mg 240 Capsules,7.01271956,120.0,2365.9,1903.71,384.99,0.8,0.2,97.0,3.987161214,VitalCore
B09TBJGCWS,PawVista Hemp Oil 60ml 55800 mg  Liquid,7.205049413,198.0,2659.85,0.0,0.0,0.0,1.0,0.0,,PawVista
B07MBZCG52,VitalCore Organic Super Greens 200 g  Powder,6.754052954,115.0,2130.78,1153.04,307.96,0.54,0.46,62.0,4.948695236,VitalCore
B07TYY1QJ3,VitalCore Hemp Seed Oil  1000 mg 180 Softgels,6.322627187,80.0,1659.53,768.32,204.68,0.46,0.54,37.0,5.526222804,VitalCore
B0924R63CJ,VitalCore L - Taurine 1000 mg 180 Capsules,6.666742744,209.0,3415.06,3017.65,918.97,0.88,0.12,185.0,4.97604752,VitalCore
B0D6YYT9Q3,VitalCore Irish Sea Moss 4000 mg 120 Capsules,5.386412172,70.0,1629.33,915.47,342.55,0.56,0.44,39.0,8.709452779,VitalCore
B088RKYG7C,VitalCore Bio Culture Complex | Germany 60 Billion  120 Capsules,5.20169604,104.0,1469.02,0.0,0.0,0.0,1.0,0.0,,VitalCore
B07KC93HR1,VitalCore Flaxseed Oil 1000 mg 180 Softgels,6.243627183,188.0,2976.73,1929.53,563.42,0.65,0.35,122.0,4.623409054,VitalCore
B0DCP2BQBP,VitalCore Vegan Omega-3 2000 mg 90 Softgels,2.914870741,130.0,2604.1,1831.28,535.01,0.7,0.3,91.0,5.852230894,VitalCore
B0CQ1ZY6RM,VitalCore Cold Pressed Black Cumin Seed Oil  1000 mg 180 Softgels,5.982856563,200.0,3699.84,2833.92,878.9,0.77,0.23,153.0,5.737263889,VitalCore
B0DBQ2ZWVB,VitalCore Alpha Lipoic Acid (ALA) 650 mg 180 Capsules,11.17688894,112.0,2333.09,2197.71,435.36,0.94,0.06,106.0,4.126592739,VitalCore
B0B1QR7DWZ,VitalCore Magnesium Citrate 125 mg 90 Gummies,5.579324839,242.0,3321.5,2094.77,694.06,0.63,0.37,153.0,4.547571762,VitalCore
B08QNHTFCH,PawVista L-Lysine 250 g  Powder,9.071556712,232.0,3484.03,1844.33,408.32,0.53,0.47,123.0,3.324726486,PawVista
B07GX25G81,PawVista Allergy Aid for dogs   120 Tablets,5.059197205,177.0,2930.05,1442.18,483.09,0.49,0.51,87.0,5.545112278,PawVista
B08BWSTJBR,VitalCore Apple Cider Vinegar 1000 mg 90 Gummies,8.891640633,179.0,2747.58,1308.36,589.26,0.48,0.52,85.0,6.913166531,VitalCore
B07GXS7XS2,PawVista Multivitamin with Minerals   365 Tablets,3.977186158,118.0,2239.81,852.34,323.54,0.38,0.62,45.0,7.205170844,PawVista
B0BV68VQV3,VitalCore Vitamin B12 | Germany  500 mcg 365 Tablets,3.03801134,168.0,1710.26,431.84,108.41,0.25,0.75,42.0,2.555637982,VitalCore
B0CTVQVDMG,VitalCore Creatine Gummies   90 Gummies,3.520251887,85.0,1756.42,1187.27,407.7,0.68,0.32,57.0,7.095788549,VitalCore
B08LTK2RMH,VitalCore Liposomal Vitamin C 1000mg 250 ml  Liquid,4.685475238,46.0,913.63,305.16,65.03,0.33,0.67,15.0,4.232516577,VitalCore
B0BT85QTFQ,VitalCore T-Boost   180 Tablets,7.919043464,49.0,888.75,178.36,57.95,0.2,0.8,10.0,5.893041647,VitalCore
B01N673US9,VitalCore Activated Charcoal  2000 mg 180 Capsules,10.5255264,254.0,3353.03,2033.99,932.9,0.61,0.39,154.0,6.054663372,VitalCore
B09CCL39DV,VitalCore Hemp Oil 2000 mg 60 ml  Oil,4.745401328,80.0,1419.84,905.4,289.54,0.64,0.36,51.0,5.675674751,VitalCore
B07HGCZRVW,PawVista Itch Relief Spray 250 ml  Spray,4.609603008,149.0,2352.1,1385.34,466.27,0.59,0.41,88.0,5.31313209,PawVista
B093ZSL4QH,VitalCore Vitamin B12  1000 mcg 400 Chewable Tablets,4.334416815,63.0,1119.99,537.52,169.39,0.48,0.52,30.0,5.602304827,VitalCore
B081Z6V1J6,VitalCore Peppermint Oil 200 mg 365 Softgels,6.620050674,111.0,1841.08,1023.27,279.25,0.56,0.44,62.0,4.526396783,VitalCore
B09444JHW7,VitalCore BCAA 2000 mg 180 Tablets,4.141194939,172.0,2855.18,3130.27,824.28,1.1,-0.1,189.0,4.371173143,VitalCore
B0B3RJ76ML,VitalCore Red Yeast Rice 290 mg 180 Capsules,6.41739581,63.0,1132.76,590.6,172.34,0.52,0.48,33.0,5.246745532,VitalCore
B0B5VMJND6,Medora Vitamin D3 Kids | Orange Flavour 1000 IU 120 Gummies,6.957022583,78.0,1073.98,819.74,145.83,0.76,0.24,60.0,2.449471211,Medora
B089QGLQHK,VitalCore Montmorency Cherry 6000 mg 180 Capsules,5.292013977,101.0,1548.09,1112.04,364.76,0.72,0.28,73.0,5.027610557,VitalCore
B08KJ9FZBC,Medora Multivitamin  Gummies for Kids   120 Gummies,6.986804378,213.0,3751.5,1614.58,861.01,0.43,0.57,92.0,9.392343651,Medora
B0D1XXG4MS,VitalCore L-Carnitine 2000 mg 120 Capsules,7.444144188,155.0,2522.59,2561.68,737.98,1.02,-0.02,157.0,4.688508268,VitalCore
B0CW374CVT,VitalCore Inositol 4000 mg 120 Tablets,4.907409205,162.0,2993.7,2349.65,969.27,0.78,0.22,127.0,7.6231569,VitalCore
B07FK47L8M,VitalCore Sunglow   120 Tablets,10.07752492,77.0,1112.72,601.5,176.96,0.54,0.46,42.0,4.251426222,VitalCore
B0CF28WQH3,VitalCore Creatine Monohydrate Micronised Unflavoured Powder    Powder,6.179313416,135.0,2848.76,1365.87,483.64,0.48,0.52,65.0,7.471966918,VitalCore
B008I0L5MQ,VitalCore Raspberry Ketone Plus   180 Capsules,7.760251672,72.0,1163.27,1000.86,207.04,0.86,0.14,62.0,3.342173242,VitalCore
B0949KMLW6,VitalCore Vitamin D3 4000 IU 120 Gummies,7.418251746,107.0,1667.66,1911.09,313.04,1.15,-0.15,123.0,2.552950706,VitalCore
B0CD7Z3W9F,VitalCore Melatonin Complex 1 mg 400 Tablets,5.814132247,61.0,897.41,471.01,94.71,0.52,0.48,32.0,2.958194863,VitalCore
B08GSRX9RN,VitalCore Tea Infuser 500 ml,7.56076392,110.0,1923.5,1029.63,231.84,0.54,0.46,59.0,3.937374149,VitalCore
B08L935BHL,PawVista Calming Aid For Dogs   120 Capsules,5.075131285,95.0,1766.51,985.2,352.58,0.56,0.44,53.0,6.654658373,PawVista
B0DN6HV7HN,VitalCore Liposomal L-Glutathione Complex   90 Capsules,7.375671739,146.0,2953.99,2290.51,1001.32,0.78,0.22,113.0,8.844980169,VitalCore
B07GXLY554,PawVista Ear Cleaner for Dogs & Cats 250 ml  Liquid,3.996467616,296.0,3735.06,2351.53,743.14,0.63,0.37,186.0,3.987732209,PawVista
B00HSJLATQ,VitalCore Raspberry Ketone Pure 1200 mg 180 Capsules,4.911620121,69.0,1034.34,659.66,170.46,0.64,0.36,44.0,3.873615973,VitalCore
B0CR14DN7M,VitalCore Marine Collagen  5000 mg 14 Liquid Sachets,6.674343633,36.0,832.06,720.98,113.62,0.87,0.13,31.0,3.642367071,VitalCore
B00E0HITK2,VitalCore Green Coffee Pure 21000 mg 90 Capsules,7.05833744,57.0,906.75,592.9,207.34,0.65,0.35,37.0,5.563067793,VitalCore
B07GYW9CVG,PawVista Urinary Aids - Dog   120 Capsules,3.660875605,101.0,1490.05,653.71,154.2,0.44,0.56,44.0,3.479995747,PawVista
B093CB31XT,VitalCore MSM with Vitamin C 2400 mg 360 Tablets,8.498801636,137.0,2258.92,1695.85,554.65,0.75,0.25,103.0,5.392769588,VitalCore
B0C3H9CVNZ,VitalCore OPC (French Grapeseed Extract) 1000 mg 240 Capsules,6.228397654,57.0,1056.7,880.5,277.67,0.83,0.17,47.0,5.846237465,VitalCore
B081RTQ1B3,PawVista Pet\'s Paw and Nose  60 ml  Balm,4.819361717,109.0,1551.9,1043.04,325.79,0.67,0.33,73.0,4.447070569,PawVista
B0CB81W43H,Medora Iron and Vitamin C Gummies for Kids   120 Gummies,8.383447128,98.0,1562.28,1218.77,448.87,0.78,0.22,76.0,5.871264184,Medora
B0CSK9ZG34,VitalCore Multivitamin Gummies for Women   90 Gummies,4.629605027,65.0,1188.68,943.81,322.85,0.79,0.21,52.0,6.255583352,VitalCore
B08Q49SV5Y,VitalCore Vitamin C & Zinc Gummies 200 mg 120 Gummies,5.149903057,144.0,1916.8,1289.61,399.53,0.67,0.33,97.0,4.123873281,VitalCore
B0CSKBLHCB,VitalCore Multivitamin Gummies for Men   90 Gummies,6.121593045,46.0,910.23,558.45,239.0,0.61,0.39,28.0,8.468508332,VitalCore
B0CBKSL8RL,Medora Calcium with Vitamin D3 for Kids    90 Gummies,9.9170861,61.0,896.79,447.27,157.98,0.5,0.5,30.0,5.192700349,Medora
B07GYL1WMY,PawVista Hip and Joint Complex   120 Capsules,12.62575933,43.0,808.12,201.07,69.77,0.25,0.75,11.0,6.521219892,PawVista
B08Z826CNN,VitalCore Glucomannan Complex   180 Capsules,5.663855294,94.0,1544.07,961.81,365.01,0.62,0.38,59.0,6.233824997,VitalCore
B0CQ1Y7H9N,VitalCore D-Mannose  2000 mg 180 Capsules,5.724542775,24.0,484.41,241.09,58.36,0.5,0.5,12.0,4.885825418,VitalCore
B0CB7ZDLXZ,Medora Omega 3-6-9 for Kids 200 mg 120 Gummies,11.46631375,78.0,1217.3,754.04,306.98,0.62,0.38,48.0,6.353583126,Medora
B093SND46D,VitalCore Choline Bitartrate 714 mg 180 Capsules,8.54142386,74.0,1136.86,1081.11,300.12,0.95,0.05,70.0,4.264816206,VitalCore
B09316R26J,VitalCore White Kidney Beans Extract 5000 mg 180 Capsules,7.475758748,31.0,490.42,207.92,81.46,0.42,0.58,13.0,6.198043478,VitalCore
B0CN31Y5ZP,VitalCore Vitamin B12 1000 mcg 120 Gummies,,74.0,1147.19,1091.89,236.54,0.95,0.05,70.0,3.358376148,VitalCore
B07KMCQCZ5,VitalCore Evening Primrose Oil 1000 mg 180 Softgels,11.18287691,190.0,2764.53,2360.19,669.51,0.85,0.15,162.0,4.127411866,VitalCore
B0B1QQYKX5,VitalCore Zinc Citrate 50 mg 90 Gummies,13.28545342,48.0,723.79,483.15,179.71,0.67,0.33,32.0,5.608692129,VitalCore
B0C6Y973ZP,VitalCore Super Greens Gummies   90 Gummies,12.86402066,51.0,846.7,687.52,245.63,0.81,0.19,41.0,5.931376,VitalCore
B091L12RBL,VitalCore Organic Spirulina & Chlorella 1740 mg 240 Capsules,8.951132321,162.0,2426.02,2836.28,582.65,1.17,-0.17,189.0,3.076366054,VitalCore
B07MLSTQ1L,VitalCore Forskolin 1000 mg 60 Capsules,,36.0,582.22,421.04,185.93,0.72,0.28,26.0,7.141850115,VitalCore
B0B252QTL4,VitalCore Kurkuma Extract | DE 500 mg 180 Capsules,1.696731863,248.0,3649.76,2900.87,1031.68,0.79,0.21,197.0,5.233947609,VitalCore
B0BFXGNM1T,VitalCore Skinny Coffee   28 Sachets,,100.0,1231.93,613.61,201.72,0.5,0.5,50.0,4.049883796,VitalCore
B08KRNGDTR,PawVista  Itch Relief  250 ml  Liquid,2.298152127,90.0,1395.41,728.58,331.05,0.52,0.48,47.0,7.044913553,PawVista
B08K997VY4,PawVista Anti-Chew Spray for Cats & Dogs 250 ml  Spray,,46.0,654.77,442.71,121.0,0.68,0.32,31.0,3.890424392,PawVista
B07YQ59VCS,VitalCore Pure Cold Pressed Fenugreek 100 ml  Oil,,63.0,779.51,254.86,89.14,0.33,0.67,21.0,4.327649628,VitalCore
B07HGDT9MT,PawVista Grooming Conditioner 500 ml  Conditioner,,55.0,891.31,570.83,181.2,0.64,0.36,35.0,5.144195836,PawVista
B08K997YCF,PawVista Coprophagia for Dogs   120 Tablets,,9.0,193.24,65.57,25.45,0.34,0.66,3.0,8.333685798,PawVista
B0DB21JDJ5,VitalCore Lion's Mane 2000 mg 90 Gummies,,14.0,283.73,176.02,92.15,0.62,0.38,9.0,10.60988179,VitalCore
B08HQGTVQX,PawVista Flea and Tick Control 500 ml  Spray,,60.0,898.87,566.16,179.87,0.63,0.37,38.0,4.759542264,PawVista
B07HB2V5YV,PawVista Calming Drops 100 ml  Drops,,19.0,299.78,186.46,56.85,0.62,0.38,12.0,4.810540147,PawVista
B07GXPQBK6,PawVista Digestive Probiotics for Dogs   120 Capsules,,6.0,107.49,7.53,4.05,0.07,0.93,0.0,9.635557769,PawVista
B0D8L2Y7CG,VitalCore Bromelain 650 mg 180 Capsules,,86.0,1430.78,1134.0,489.24,0.79,0.21,68.0,7.17766711,VitalCore
B07HB1H9ZZ,PawVista Denti-Care Kit For Dogs 200 g  Toothpaste,,144.0,2056.01,1336.34,587.98,0.65,0.35,94.0,6.282150209,PawVista
B09MS281SX,VitalCore Montmorency Cherry | Germany 6000 mg 180 Capsules,,3.0,46.26,0.0,0.0,0.0,1.0,0.0,,VitalCore
B087C2M9LH,VitalCore Liposomal Vitamin D3 2000IU + K2 75mcg 250 ml,,14.0,266.03,187.83,92.89,0.71,0.29,10.0,9.397375552,VitalCore
B07RFRGD5N,Eco Masters Jade Facial Roller with GuaSha & Serum    Device,,4.0,74.09,3.65,2.2,0.05,0.95,0.0,11.16424658,Other
B07MBPZXXV,VitalCore Biotin Gummies for Hair Skin and Nails 5000 mcg 120 Gummies,,164.0,2688.09,1478.19,974.9,0.55,0.45,90.0,10.8101014,VitalCore
B08XY3354N,PawVista Anti Bark Collar    Device,,10.0,226.84,138.27,45.85,0.61,0.39,6.0,7.521959933,PawVista
B085SZT5LL,PawVista Retractable Dog Leash    Device,,5.0,67.78,0.0,0.0,0.0,1.0,0.0,,PawVista
B07L5JH3NT,"VitalCore Wart, Corn & Verruca Patch   28 Patches",,2.0,20.38,13.15,1.84,0.65,0.35,1.0,1.425825095,VitalCore
B089764H3P,VitalCore Pure Marine Collagen| Germany,,1.0,15.17,0.0,0.0,0.0,1.0,0.0,,VitalCore
B0DCK8JV7C,VitalCore Pure Hydrolysed Collagen Peptides 500 g  Powder,,10.0,212.14,634.48,57.76,2.99,-1.99,30.0,1.931220275,VitalCore
B07WG96M8C,VitalCore Spirulina,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07W61JXND,VitalCore Spirulina,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07YX5G5KG,VitalCore Chlorella,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07Q99SRVG,VitalCore Fucus+,,0.0,0.0,0.0,0.0,,,,,VitalCore
B00HSJCT9Q,VitalCore Garcinia Cambogia Plus,,0.0,0.0,0.0,0.0,,,,,VitalCore
B00HSIZVN8,VitalCore Garcinia Cambogia Pure 1000 mg 60 Capsules,,0.0,0.0,0.0,0.0,,,,,VitalCore
B00LR215PE,VitalCore Detox Foot Patches,,0.0,0.0,0.0,0.0,,,,,VitalCore
B00XUDQ1MU,VitalCore Glucomannan Plus,,0.0,0.0,0.0,0.0,,,,,VitalCore
B00HSJXJK4,VitalCore Pure Acai Berry,,0.0,0.0,0.0,0.0,,,,,VitalCore
B010FMZ6YM,VitalCore Detox Tone,,0.0,0.0,0.0,0.0,,,,,VitalCore
B00W3ITIVE,VitalCore Active T5 Plus,,0.0,0.0,0.0,0.0,,,,,VitalCore
