campaign_label,asin,product_hint,tactic,sum_of_spend,spend_share,total_budget,campaign_level_budget
VitalCore | | CLA | L-Carnitine PT | B07K9X11YV,B07K9X11YV,VitalCore,L-Carnitine PT,33.34,0.04,140.0,6.04
VitalCore | | CLA | PHRASE| B07K9X11YV,B07K9X11YV,VitalCore,PHRASE,5.66,0.01,140.0,1.03
VitalCore | CLA Softgels | Auto | B07K9X11YV,B07K9X11YV,VitalCore,Auto,14.96,0.02,140.0,2.71
VitalCore | CLA Softgels | Exact-1 | B07K9X11YV,B07K9X11YV,VitalCore,Exact-1,50.92,0.07,140.0,9.22
VitalCore | CLA Softgels | Main Exact | B07K9X11YV,B07K9X11YV,VitalCore,Main Exact,281.01,0.36,140.0,50.9
VitalCore | CLA Softgels | Moved EX | B07K9X11YV,B07K9X11YV,VitalCore,Moved EX,104.08,0.13,140.0,18.85
VitalCore | CLA Softgels | New PT | B07K9X11YV,B07K9X11YV,VitalCore,New PT,35.34,0.05,140.0,6.4
VitalCore | CLA Softgels | New-CT | B07K9X11YV,B07K9X11YV,VitalCore,New-CT,175.29,0.2268,140.0,31.75
VitalCore | Glucosamine | AUTO | B07L9C38RD,B07L9C38RD,VitalCore,AUTO,27.18,0.01,238.0,3.19
VitalCore | Glucosamine | BROAD | B07L9C38RD,B07L9C38RD,VitalCore,BROAD,165.51,0.08,238.0,19.45
VitalCore | Glucosamine | CT New | B07L9C38RD,B07L9C38RD,VitalCore,CT New,13.86,0.01,238.0,1.63
VitalCore | Glucosamine | EXACT-1 | B07L9C38RD,B07L9C38RD,VitalCore,EXACT-1,653.95,0.32,238.0,76.85
VitalCore | Glucosamine | Moved/New | PT-2 | B07L9C38RD,B07L9C38RD,VitalCore,PT-2,214.7,0.106,238.0,25.23
VitalCore | Glucosamine | PHRASE | B07L9C38RD,B07L9C38RD,VitalCore,PHRASE,12.84,0.01,238.0,1.51
VitalCore | Glucosamine | PT- 1 | B07L9C38RD,B07L9C38RD,VitalCore,PT- 1,24.1,0.01,238.0,2.83
VitalCore | Glucosamine | PT-Self | B07L9C38RD,B07L9C38RD,VitalCore,PT-Self,27.19,0.01,238.0,3.2
VitalCore | Glucosamine | SKAG - 1 | B07L9C38RD,B07L9C38RD,VitalCore,SKAG - 1,687.06,0.34,238.0,80.74
VitalCore | Glucosamine | SKAG - 2 | B07L9C38RD,B07L9C38RD,VitalCore,SKAG - 2,84.15,0.04,238.0,9.89
VitalCore | Glucosamine | SQP Exact | B07L9C38RD,B07L9C38RD,VitalCore,SQP Exact,114.74,0.06,238.0,13.48
VitalCore | Vibration Plate | CT | U/D | B07LH6X6VC,B07LH6X6VC,VitalCore,U/D,2247.29,0.74,153.0,112.79
VitalCore | Vibration Plate | SQP | Exact | B07LH6X6VC,B07LH6X6VC,VitalCore,Exact,801.12,0.26,153.0,40.21
VitalCore | CoQ10 200mg 120 Capsules | 2KAG | B07MZY4P1R,B07MZY4P1R,VitalCore,2KAG,14.28,0.011,59.0,0.65
VitalCore | CoQ10 200mg 120 Capsules | 4KAG | B07MZY4P1R,B07MZY4P1R,VitalCore,4KAG,699.31,0.54,59.0,31.78
VitalCore | CoQ10 200mg 120 Capsules | BROAD | B07MZY4P1R,B07MZY4P1R,VitalCore,BROAD,48.76,0.04,59.0,2.22
VitalCore | CoQ10 200mg 120 Capsules | Exact-2 | B07MZY4P1R,B07MZY4P1R,VitalCore,Exact-2,25.19,0.02,59.0,1.14
VitalCore | CoQ10 200mg 120 Capsules | New Auto | B07MZY4P1R,B07MZY4P1R,VitalCore,New Auto,23.31,0.02,59.0,1.06
VitalCore | CoQ10 200mg 120 Capsules | New PT | B07MZY4P1R,B07MZY4P1R,VitalCore,New PT,35.39,0.03,59.0,1.61
VitalCore | CoQ10 200mg 120 Capsules | PHRASE | B07MZY4P1R,B07MZY4P1R,VitalCore,PHRASE,44.22,0.03,59.0,2.01
VitalCore | CoQ10 200mg 120 Capsules | PT | B07MZY4P1R,B07MZY4P1R,VitalCore,PT,0.0,0.0,59.0,0.0
VitalCore | CoQ10 200mg 120 Capsules | PT-1 | U/D | B07MZY4P1R,B07MZY4P1R,VitalCore,U/D,315.29,0.24,59.0,14.33
VitalCore | CoQ10 200mg 120 Capsules | SQP | Exact | B07MZY4P1R,B07MZY4P1R,VitalCore,Exact,70.66,0.05,59.0,3.21
VitalCore | CoQ10 Plus 200mg 120 Capsules | CT | B07MZY4P1R,B07MZY4P1R,VitalCore,CT,21.76,0.02,59.0,0.99
VitalCore | Krill Oil 500 mg | Broad | B07PDFXWCD,B07PDFXWCD,VitalCore,Broad,89.01,0.0818,102.0,8.35
VitalCore | Krill Oil 500 mg | Omega 3 PT | B07PDFXWCD,B07PDFXWCD,VitalCore,Omega 3 PT,56.22,0.05,102.0,5.27
VitalCore | Krill Oil 500 mg | Omega 3 Single PT | B07PDFXWCD,B07PDFXWCD,VitalCore,Omega 3 Single PT,620.04,0.57,102.0,58.15
VitalCore | Krill Oil 500 mg | Phrase | B07PDFXWCD,B07PDFXWCD,VitalCore,Phrase,4.29,0.0,102.0,0.4
VitalCore | Krill Oil 500 mg | Top Exact | B07PDFXWCD,B07PDFXWCD,VitalCore,Top Exact,139.46,0.13,102.0,13.08
VitalCore | Krill Oil 500mg | AUTO 2.0 | B07PDFXWCD,B07PDFXWCD,VitalCore,AUTO 2.0,4.27,0.0,102.0,0.4
VitalCore | Krill Oil 500mg | CT | B07PDFXWCD,B07PDFXWCD,VitalCore,CT,0.0,0.0,102.0,0.0
VitalCore | Krill Oil 500mg | EXACT 1 | B07PDFXWCD,B07PDFXWCD,VitalCore,EXACT 1,35.02,0.03,102.0,3.28
VitalCore | Krill Oil 500mg | Moved Exact | B07PDFXWCD,B07PDFXWCD,VitalCore,Moved Exact,62.18,0.06,102.0,5.83
VitalCore | Krill Oil 500mg | PT 1 | B07PDFXWCD,B07PDFXWCD,VitalCore,PT 1,30.42,0.03,102.0,2.85
VitalCore | Krill Oil 500mg | PT 2 | B07PDFXWCD,B07PDFXWCD,VitalCore,PT 2,36.22,0.03,102.0,3.4
VitalCore | Krill Oil 500mg | SELF PT | B07PDFXWCD,B07PDFXWCD,VitalCore,SELF PT,10.51,0.0097,102.0,0.99
VitalCore | Organic Turmeric 365 | 4KAG | B07YNVK1MB,B07YNVK1MB,VitalCore,4KAG,197.96,0.24,355.0,85.01
VitalCore | Organic Turmeric 365 | Auto 2.0 | B07YNVK1MB,B07YNVK1MB,VitalCore,Auto 2.0,130.52,0.16,355.0,56.05
VitalCore | Organic Turmeric 365 | BROAD | B07YNVK1MB,B07YNVK1MB,VitalCore,BROAD,52.43,0.06,355.0,22.52
VitalCore | Organic Turmeric 365 | CT | B07YNVK1MB,B07YNVK1MB,VitalCore,CT,60.65,0.07,355.0,26.05
VitalCore | Organic Turmeric 365 | Exact-II | B07YNVK1MB,B07YNVK1MB,VitalCore,Exact-II,18.72,0.02,355.0,8.04
VitalCore | Organic Turmeric 365 | New Exact | B07YNVK1MB,B07YNVK1MB,VitalCore,New Exact,60.2,0.07,355.0,25.85
VitalCore | Organic Turmeric 365 | Phrase | B07YNVK1MB,B07YNVK1MB,VitalCore,Phrase,40.29,0.05,355.0,17.3
VitalCore | Organic Turmeric 365 | Powder - PT | B07YNVK1MB,B07YNVK1MB,VitalCore,Powder - PT,0.92,0.0,355.0,0.4
VitalCore | Organic Turmeric 365 | PT-I | B07YNVK1MB,B07YNVK1MB,VitalCore,PT-I,137.41,0.17,355.0,59.01
VitalCore | Organic Turmeric 365 | PT-New | B07YNVK1MB,B07YNVK1MB,VitalCore,PT-New,22.04,0.03,355.0,9.47
VitalCore | Organic Turmeric 365 | self -  PT | B07YNVK1MB,B07YNVK1MB,VitalCore,self -  PT,8.14,0.0098,355.0,3.5
VitalCore | Organic Turmeric 365 | SKAG | curcuma | B07YNVK1MB,B07YNVK1MB,VitalCore,curcuma,97.35,0.12,355.0,41.81
VitalCore | Bio Culture Complex | Auto-New | B07ZKMCN2Z,B07ZKMCN2Z,VitalCore,Auto-New,90.23,0.06,168.0,9.39
VitalCore | Bio Culture Complex | Broad New | B07ZKMCN2Z,B07ZKMCN2Z,VitalCore,Broad New,158.65,0.1,168.0,16.52
VitalCore | Bio Culture Complex | CT to PT | B07ZKMCN2Z,B07ZKMCN2Z,VitalCore,CT to PT,17.08,0.01,168.0,1.78
VitalCore | Bio Culture Complex | EXACT-1 | B07ZKMCN2Z,B07ZKMCN2Z,VitalCore,EXACT-1,45.93,0.03,168.0,4.78
VitalCore | Bio Culture Complex | Phrase -1 | B07ZKMCN2Z,B07ZKMCN2Z,VitalCore,Phrase -1,102.23,0.06,168.0,10.64
VitalCore | Bio Culture Complex | PT -3 | B07ZKMCN2Z,B07ZKMCN2Z,VitalCore,PT -3,48.81,0.03,168.0,5.08
VitalCore | Bio Culture Complex | PT new 2 | B07ZKMCN2Z,B07ZKMCN2Z,VitalCore,PT new 2,11.11,0.01,168.0,1.16
VitalCore | Bio Culture Complex | PT Nutri&Co | B07ZKMCN2Z,B07ZKMCN2Z,VitalCore,PT Nutri&Co,54.03,0.03,168.0,5.63
VitalCore | Bio Culture Complex | PT Nutrivita | B07ZKMCN2Z,B07ZKMCN2Z,VitalCore,PT Nutrivita,9.25,0.01,168.0,0.96
VitalCore | Bio Culture Complex | PT-Self | U/D | B07ZKMCN2Z,B07ZKMCN2Z,VitalCore,U/D,312.05,0.19,168.0,32.49
VitalCore | Bio Culture Complex | SKAG - Probiotique | B07ZKMCN2Z,B07ZKMCN2Z,VitalCore,SKAG - Probiotique,446.77,0.28,168.0,46.51
VitalCore | Bio Culture Complex | SKAG -Probiotique flore intestinale | B07ZKMCN2Z,B07ZKMCN2Z,VitalCore,SKAG -Probiotique flore intestinale,284.91,0.18,168.0,29.66
VitalCore | Bio Culture Complex | SP CT | B07ZKMCN2Z,B07ZKMCN2Z,VitalCore,SP CT,16.11,0.01,168.0,1.68
VitalCore | Bio Culture Complex | SQP | B07ZKMCN2Z,B07ZKMCN2Z,VitalCore,SQP,16.53,0.01,168.0,1.72
VitalCore | Hyaluronic Acid 300mg 180 Capsules | 2- PT (Best Seller)| B07ZZ4G399,B07ZZ4G399,VitalCore,2- PT (Best Seller),5.85,0.0045,38.0,0.17
VitalCore | Hyaluronic Acid 300mg 180 Capsules | Auto | B07ZZ4G399,B07ZZ4G399,VitalCore,Auto,40.19,0.03,38.0,1.17
VitalCore | Hyaluronic Acid 300mg 180 Capsules | Broad Modifier | B07ZZ4G399,B07ZZ4G399,VitalCore,Broad Modifier,41.68,0.032,38.0,1.22
VitalCore | Hyaluronic Acid 300mg 180 Capsules | Broad SKAG | B07ZZ4G399,B07ZZ4G399,VitalCore,Broad SKAG,8.8,0.01,38.0,0.26
VitalCore | Hyaluronic Acid 300mg 180 Capsules | EFB & EFP  | B07ZZ4G399,B07ZZ4G399,VitalCore,EFB & EFP,13.38,0.01,38.0,0.39
VitalCore | Hyaluronic Acid 300mg 180 Capsules | Exact - 1| B07ZZ4G399,B07ZZ4G399,VitalCore,Exact - 1,54.06,0.04,38.0,1.58
VitalCore | Hyaluronic Acid 300mg 180 Capsules | MAIN Exact | B07ZZ4G399,B07ZZ4G399,VitalCore,MAIN Exact,792.9,0.61,38.0,23.14
VitalCore | Hyaluronic Acid 300mg 180 Capsules | New-PT | B07ZZ4G399,B07ZZ4G399,VitalCore,New-PT,15.63,0.01,38.0,0.46
VitalCore | Hyaluronic Acid 300mg 180 Capsules | Phrase | B07ZZ4G399,B07ZZ4G399,VitalCore,Phrase,133.0,0.1021,38.0,3.88
VitalCore | Hyaluronic Acid 300mg 180 Capsules | PT | B07ZZ4G399,B07ZZ4G399,VitalCore,PT,60.63,0.05,38.0,1.77
VitalCore | Hyaluronic Acid 300mg 180 Capsules | PT 2 | B07ZZ4G399,B07ZZ4G399,VitalCore,PT 2,15.64,0.01,38.0,0.46
VitalCore | Hyaluronic Acid 300mg 180 Capsules | PT-1 | B07ZZ4G399,B07ZZ4G399,VitalCore,PT-1,1.14,0.0,38.0,0.03
VitalCore | Hyaluronic Acid 300mg 180 Capsules | Self-PT | B07ZZ4G399,B07ZZ4G399,VitalCore,Self-PT,40.1,0.03,38.0,1.17
VitalCore | Hyaluronic Acid 300mg 180 Capsules | SP-CT | B07ZZ4G399,B07ZZ4G399,VitalCore,SP-CT,10.94,0.01,38.0,0.32
VitalCore | Hyaluronic Acid 300mg 180 Capsules | SQP - EXACT | B07ZZ4G399,B07ZZ4G399,VitalCore,SQP - EXACT,32.63,0.03,38.0,0.95
VitalCore | Hyaluronic Acid 300mg 180 Capsules | SQP - EXACT 1 | B07ZZ4G399,B07ZZ4G399,VitalCore,SQP - EXACT 1,35.76,0.03,38.0,1.04
VitalCore | Biotin 365 Tablets | 2KAG | B0817WBXKF,B0817WBXKF,VitalCore,2KAG,32.38,0.02,128.0,2.98
VitalCore | Biotin 365 Tablets | 5KAG | B0817WBXKF,B0817WBXKF,VitalCore,5KAG,255.87,0.1837,128.0,23.51
VitalCore | Biotin 365 Tablets | AUTO | B0817WBXKF,B0817WBXKF,VitalCore,AUTO,72.15,0.05,128.0,6.63
VitalCore | Biotin 365 Tablets | BROAD | B0817WBXKF,B0817WBXKF,VitalCore,BROAD,251.24,0.18,128.0,23.09
VitalCore | Biotin 365 Tablets | CT | B0817WBXKF,B0817WBXKF,VitalCore,CT,16.84,0.01,128.0,1.55
VitalCore | Biotin 365 Tablets | Exact | B0817WBXKF,B0817WBXKF,VitalCore,Exact,14.71,0.01,128.0,1.35
VitalCore | Biotin 365 Tablets | Moved EX | B0817WBXKF,B0817WBXKF,VitalCore,Moved EX,67.75,0.05,128.0,6.23
VitalCore | Biotin 365 Tablets | Phrase | B0817WBXKF,B0817WBXKF,VitalCore,Phrase,5.34,0.0,128.0,0.49
VitalCore | Biotin 365 Tablets | PT | B0817WBXKF,B0817WBXKF,VitalCore,PT,30.18,0.02,128.0,2.77
VitalCore | Biotin 365 Tablets | PT 1 | B0817WBXKF,B0817WBXKF,VitalCore,PT 1,195.31,0.14,128.0,17.95
VitalCore | Biotin 365 Tablets | PT-1 | B0817WBXKF,B0817WBXKF,VitalCore,PT-1,33.0,0.0237,128.0,3.03
VitalCore | Biotin 365 Tablets | Self-PT | B0817WBXKF,B0817WBXKF,VitalCore,Self-PT,90.27,0.06,128.0,8.29
VitalCore | Biotin 365 Tablets | SKAG | B0817WBXKF,B0817WBXKF,VitalCore,SKAG,327.93,0.24,128.0,30.13
VitalCore | Apple Cider Vinegar | Broad | B081NCGQPB,B081NCGQPB,VitalCore,Broad,48.61,0.05,77.0,3.56
VitalCore | Apple Cider Vinegar | Exact -2 | B081NCGQPB,B081NCGQPB,VitalCore,Exact -2,403.46,0.38,77.0,29.54
VitalCore | Apple Cider Vinegar | Morosil PT | B081NCGQPB,B081NCGQPB,VitalCore,Morosil PT,62.64,0.06,77.0,4.59
VitalCore | Apple Cider Vinegar | Phrase | B081NCGQPB,B081NCGQPB,VitalCore,Phrase,64.11,0.06,77.0,4.69
VitalCore | Apple Cider Vinegar | Self -PT | B081NCGQPB,B081NCGQPB,VitalCore,Self -PT,58.13,0.06,77.0,4.26
VitalCore | Apple Cider Vinegar | Single- PT- Liquid | B081NCGQPB,B081NCGQPB,VitalCore,Single- PT- Liquid,6.31,0.01,77.0,0.46
VitalCore | Apple Cider Vinegar | SKAG | B081NCGQPB,B081NCGQPB,VitalCore,SKAG,319.11,0.3,77.0,23.37
VitalCore | Apple Cider Vinegar Cap. | Exact 02 | B081NCGQPB,B081NCGQPB,VitalCore,Exact 02,34.16,0.03,77.0,2.5
VitalCore | Apple Cider Vinegar Cap. | Moved ST | B081NCGQPB,B081NCGQPB,VitalCore,Moved ST,55.05,0.05,77.0,4.03
VitalCore | Omega 3 Fish Oil 1100mg | Self-PT New | B084G5XC29,B084G5XC29,VitalCore,Self-PT New,974.91,0.09,871.0,77.06
VitalCore | Omega 3 Fish Oil 1100mg 240 Softgels | PT | Brand: NOVOMA   | B084G5XC29,B084G5XC29,VitalCore,Brand: NOVOMA,244.13,0.02,871.0,19.3
VitalCore | Omega 3 Fish Oil 2000mg 240 caps | PT 1 | B084G5XC29,B084G5XC29,VitalCore,PT 1,9611.88,0.87,871.0,759.76
VitalCore | Omega 3 Fish Oil 2000mg 240 Softgels | PT | Brand: Nutravita | B084G5XC29,B084G5XC29,VitalCore,Brand: Nutravita,188.3,0.02,871.0,14.88
VitalCore | VITAMIN C Tablets - 1000 mg |  Exact | B085W65GKF,B085W65GKF,VitalCore,Exact,316.26,0.085,96.0,8.16
VitalCore | VITAMIN C Tablets - 1000 mg | CT | B085W65GKF,B085W65GKF,VitalCore,CT,160.71,0.04,96.0,4.15
VitalCore | Vitamin C Tablets - 1000mg | 3KAG | B085W65GKF,B085W65GKF,VitalCore,3KAG,2606.24,0.7,96.0,67.26
VitalCore | Vitamin C Tablets - 1000mg | Auto | B085W65GKF,B085W65GKF,VitalCore,Auto,36.29,0.01,96.0,0.94
VitalCore | Vitamin C Tablets - 1000mg | Broad | B085W65GKF,B085W65GKF,VitalCore,Broad,392.72,0.11,96.0,10.13
VitalCore | Vitamin C Tablets - 1000mg | EFA | B085W65GKF,B085W65GKF,VitalCore,EFA,12.1,0.0,96.0,0.31
VitalCore | Vitamin C Tablets - 1000mg | EFB | B085W65GKF,B085W65GKF,VitalCore,EFB,12.03,0.0,96.0,0.31
VitalCore | Vitamin C Tablets - 1000mg | PT | B085W65GKF,B085W65GKF,VitalCore,PT,48.03,0.0129,96.0,1.24
VitalCore | Vitamin C Tablets - 1000mg | PT 3 | B085W65GKF,B085W65GKF,VitalCore,PT 3,28.04,0.01,96.0,0.72
VitalCore | Vitamin C Tablets - 1000mg | PT-2 | B085W65GKF,B085W65GKF,VitalCore,PT-2,24.07,0.01,96.0,0.62
VitalCore | Vitamin C Tablets - 1000mg | Self PT | B085W65GKF,B085W65GKF,VitalCore,Self PT,26.95,0.01,96.0,0.7
VitalCore | Vitamin C Tablets - 1000mg | SKAG - Vitamin C liposomale | B085W65GKF,B085W65GKF,VitalCore,SKAG - Vitamin C liposomale,56.49,0.02,96.0,1.46
VitalCore | Multivitamin Gummies 120 Gummies |  Exact Top 2kws  | B086T13DD6,B086T13DD6,VitalCore,Exact Top 2kws,96.5,0.1,147.0,15.13
VitalCore | Multivitamin Gummies 120 Gummies | Exact | Gummies Kws  | B086T13DD6,B086T13DD6,VitalCore,Gummies Kws,53.07,0.06,147.0,8.32
VitalCore | Multivitamin Gummies 120 Gummies | PT- Indirect | B086T13DD6,B086T13DD6,VitalCore,PT- Indirect,274.45,0.29,147.0,43.02
VitalCore | Multivitamin Gummies 120 Gummies | Self- PT   | B086T13DD6,B086T13DD6,VitalCore,Self- PT,513.85,0.55,147.0,80.54
VitalCore | VITAMIN D3 4000 IU | 2KAG | B086V74KKR,B086V74KKR,VitalCore,2KAG,3544.19,0.61,433.0,265.36
VitalCore | VITAMIN D3 4000 IU | AUTO-1 | B086V74KKR,B086V74KKR,VitalCore,AUTO-1,139.58,0.02,433.0,10.45
VitalCore | VITAMIN D3 4000 IU | EXACT 2 | B086V74KKR,B086V74KKR,VitalCore,EXACT 2,78.81,0.01,433.0,5.9
VitalCore | VITAMIN D3 4000 IU | Exact 3 | B086V74KKR,B086V74KKR,VitalCore,Exact 3,113.86,0.02,433.0,8.52
VitalCore | VITAMIN D3 4000 IU | Exact 4 | B086V74KKR,B086V74KKR,VitalCore,Exact 4,1357.74,0.2348,433.0,101.66
VitalCore | VITAMIN D3 4000 IU | PT | B086V74KKR,B086V74KKR,VitalCore,PT,546.27,0.09,433.0,40.9
VitalCore | VITAMINE D3 4000 UI | EXACT | B086V74KKR,B086V74KKR,VitalCore,EXACT,2.73,0.0,433.0,0.2
VitalCore | Ginger | Auto 2.0 | B089QHSS5H,B089QHSS5H,VitalCore,Auto 2.0,54.08,0.06,37.0,2.4
VitalCore | Ginger | Broad | B089QHSS5H,B089QHSS5H,VitalCore,Broad,35.84,0.04,37.0,1.59
VitalCore | Ginger | CT | B089QHSS5H,B089QHSS5H,VitalCore,CT,1.54,0.0018,37.0,0.07
VitalCore | Ginger | Exact 1 | B089QHSS5H,B089QHSS5H,VitalCore,Exact 1,308.98,0.37,37.0,13.71
VitalCore | Ginger | Phrase | B089QHSS5H,B089QHSS5H,VitalCore,Phrase,36.13,0.04,37.0,1.6
VitalCore | Ginger | PT 1 | B089QHSS5H,B089QHSS5H,VitalCore,PT 1,20.26,0.02,37.0,0.9
VitalCore | Ginger | SELF-PT | B089QHSS5H,B089QHSS5H,VitalCore,SELF-PT,16.89,0.02,37.0,0.75
VitalCore | Ginger | SKAG | B089QHSS5H,B089QHSS5H,VitalCore,SKAG,331.09,0.397,37.0,14.69
VitalCore | Ginger | SQP | EXACT | B089QHSS5H,B089QHSS5H,VitalCore,EXACT,29.21,0.04,37.0,1.3
VitalCore | Magnesium Citrate | SKAG - Magnesium | B08BTXFQ4F,B08BTXFQ4F,VitalCore,SKAG - Magnesium,3561.45,0.65,457.0,299.25
VitalCore | Magnesium Citrate 180 Capsules | PT | B08BTXFQ4F,B08BTXFQ4F,VitalCore,PT,53.74,0.01,457.0,4.52
VitalCore |Magnesium Citrate |  PHRASE | B08BTXFQ4F,B08BTXFQ4F,VitalCore,PHRASE,648.28,0.12,457.0,54.47
VitalCore |Magnesium Citrate | citrate de magnesium | SKAG |B08BTXFQ4F,B08BTXFQ4F,VitalCore,SKAG,1041.36,0.19,457.0,87.5
VitalCore |Magnesium Citrate | magnesium citrate | SKAG | B08BTXFQ4F,B08BTXFQ4F,VitalCore,SKAG,134.08,0.02,457.0,11.27
VitalCore |  BLACK MACA | AUTO | B08BXNX4MF,B08BXNX4MF,VitalCore,AUTO,36.55,0.01,107.0,1.54
